Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
AA,ABI,DFW,DFW-ABI,32.5347,-97.215,32.244,-99.4054
US,ABI,DFW,DFW-ABI,32.5347,-97.215,32.244,-99.4054
9K,ACK,BOS,BOS-ACK,42.2151,-71.018,41.151,-70.336
TJ,ACK,HPN,HPN-ACK,41.41,-73.4227,41.151,-70.336
TJ,ACK,TEB,TEB-ACK,40.5059,-74.339,41.151,-70.336
AA,ACT,DFW,DFW-ACT,32.5347,-97.215,31.364,-97.1349
US,ACT,DFW,DFW-ACT,32.5347,-97.215,31.364,-97.1349
NK,ACY,BOS,BOS-ACY,42.2151,-71.018,39.2727,-74.3437
NK,ACY,DTW,DTW-ACY,42.1244,-83.2112,39.2727,-74.3437
NK,ACY,FLL,FLL-ACY,26.421,-80.99,39.2727,-74.3437
UA,ACY,IAH,IAH-ACY,29.5849,-95.2023,39.2727,-74.3437
NK,ACY,MCO,MCO-ACY,28.2544,-81.1857,39.2727,-74.3437
NK,ACY,MYR,MYR-ACY,33.4047,-78.5542,39.2727,-74.3437
NK,ACY,ORD,ORD-ACY,41.5846,-87.5416,39.2727,-74.3437
UA,ACY,ORD,ORD-ACY,41.5846,-87.5416,39.2727,-74.3437
NK,ACY,RSW,RSW-ACY,26.321,-81.4518,39.2727,-74.3437
NK,ACY,TPA,TPA-ACY,27.5831,-82.3159,39.2727,-74.3437
AF,AEX,ATL,ATL-AEX,33.3825,-84.2537,31.1938,-92.3254
DL,AEX,ATL,ATL-AEX,33.3825,-84.2537,31.1938,-92.3254
KL,AEX,ATL,ATL-AEX,33.3825,-84.2537,31.1938,-92.3254
AA,AEX,DFW,DFW-AEX,32.5347,-97.215,31.1938,-92.3254
US,AEX,DFW,DFW-AEX,32.5347,-97.215,31.1938,-92.3254
UA,AEX,IAH,IAH-AEX,29.5849,-95.2023,31.1938,-92.3254
AF,AGS,ATL,ATL-AGS,33.3825,-84.2537,33.2211,-81.5752
DL,AGS,ATL,ATL-AGS,33.3825,-84.2537,33.2211,-81.5752
KL,AGS,ATL,ATL-AGS,33.3825,-84.2537,33.2211,-81.5752
AA,AGS,CLT,CLT-AGS,35.125,-80.5635,33.2211,-81.5752
US,AGS,CLT,CLT-AGS,35.125,-80.5635,33.2211,-81.5752
AA,AGS,DCA,DCA-AGS,38.517,-77.215,33.2211,-81.5752
US,AGS,DCA,DCA-AGS,38.517,-77.215,33.2211,-81.5752
AF,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
AM,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
DL,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
KL,ALB,ATL,ATL-ALB,33.3825,-84.2537,42.4453,-73.481
9K,ALB,BOS,BOS-ALB,42.2151,-71.018,42.4453,-73.481
